optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
SGD,False,-3.0,AdamW,-5.0,-4.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.5782493368700266,0.6716612605998983,0.99,0.990801576872536,0.0091984231274638,0.6873589658127335,0.4285714285714285,0.6047041771911432,0.5,0.5,0.0403206809329718,0.239919829766757,0.0403206809329718,0.2471683298656294,0.4285714285714285,sele,eye,8.0,275.78837275505066,TabFTTransformer,,,,,,,,,0.0,0.96,True,,,,,0.000801576872536,0.0090013140604467,0.6697453324206813,0.6697453324206813,,,,,,,
AdamW,True,-4.0,Adam,-3.0,-4.0,3.0,256.0,,,,,0.939691067830759,0.184067123350102,0.99,0.9926666666666668,0.0073333333333333,0.6470626389353429,0.5909090909090909,0.8300745273984769,0.6586666666666666,0.064002686366689,0.180523696475184,0.0490983942182031,0.8767160567179189,0.2291946620807506,0.4545454545454545,sele,giveme,10.0,1112.2956771850586,TabResnet,,,,,512.0,1.0,0.2,0.05,,,,,,,,0.0026666666666668,0.0029333333333333,0.1378931126654465,0.1378931126654465,,,,,,,
Adam,True,-6.0,AdamW,-5.0,-4.0,3.0,128.0,,,,,0.3651188072682093,2.616766104975265,0.99,0.9875766871165644,0.0124233128834355,4.133967245891051,0.1358024691358024,0.9161967404224096,-1.0,,,,,,,sele,helena,14.0,454.7530117034912,TabResnet,,,,,512.0,4.0,0.5,0.25,,,,,,,,0.0024233128834355,0.0182515337423312,2.412154392475539,2.412154392475539,,,,,,,
Adam,True,-4.0,SGD,-4.0,-3.0,1.0,128.0,0.5,1.0,0.15,1.3333333333333333,0.7064128256513026,0.5824309234840744,0.99,0.998,0.002,0.6986521430590027,0.5,0.7651164658634538,-1.0,0.501002004008016,0.2128369147043357,0.196790771323916,0.2128369147043357,0.2527999799604092,0.0,sele,heloc,13.0,179.3134114742279,TabFTTransformer,,,,,,,,,0.05,,,,,0.94,True,0.008,0.029,0.5769052083693142,0.5769052083693142,,,,,,,
AdamW,True,-5.0,AdamW,-4.0,-4.0,3.0,192.0,0.15,1.0,0.4,2.0,0.7166409067490984,0.5476004181635615,0.99,0.9898011218765936,0.0101988781234064,0.6608846039249748,0.64,0.7962070551645282,0.7073464472099559,0.5292117465224111,0.2581685851535656,0.1848251390629341,0.2681060872179122,0.2257946722481405,0.47,sele,higgs,15.0,1322.639209508896,TabFTTransformer,,,,,,,,,0.1,,,,,,,0.0001988781234063,0.0041305456399796,0.5252937344271014,0.5252937344271014,,,,,,,
SGD,False,-3.0,AdamW,-5.0,-4.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.8508245877061469,0.346952458250044,0.99,0.9888806523350632,0.0111193476649369,0.5538437848436377,0.7333333333333333,0.9271526155962498,0.8035714285714286,0.5,0.5751414412809572,0.1062146396797607,0.5751414412809572,0.1892320874311162,0.4666666666666667,sele,house,8.0,488.5806682109833,TabFTTransformer,,,,,,,,,0.0,0.96,True,,,,,0.0011193476649368,0.0120830244625648,0.305432656903969,0.305432656903969,,,,,,,
Adam,True,-3.0,Adam,-3.0,-2.0,2.0,64.0,,,,,0.9286498353457738,0.1888542958749661,0.99,0.9956284153005464,0.0043715846994535,0.0165067759579058,1.0,0.9935629203873814,-1.0,,,,,,,sele,indian,6.0,133.7432680130005,TabResnet,,,,,128.0,2.0,0.4,0.45,,,,,,,,0.0056284153005463,0.0133879781420764,0.170971651160757,0.170971651160757,,,,,,,
SGD,False,-3.0,AdamW,-7.0,-3.0,3.0,128.0,0.35,1.0,0.2,0.6666666666666666,0.7721207865168539,0.4717193264738366,0.99,0.989232372351511,0.010767627648489,0.5898869368110685,0.7580645161290323,0.8546291684338228,0.7172582619339045,0.4978932584269663,0.380321257872162,0.1549196855319595,0.380321257872162,0.1903915632427277,0.6935483870967742,sele,jannis,11.0,733.9439070224762,TabFTTransformer,,,,,,,,,0.0,0.94,True,,,,,0.000767627648489,0.0139979159430356,0.4550906084021529,0.4550906084021529,,,,,,,
SGD,False,-3.0,AdamW,-5.0,-4.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.8275193798449613,0.3901275152888909,0.99,0.9942196531791908,0.0057803468208093,0.8792457362140986,0.3333333333333333,0.8657833062916892,1.0,0.5,0.4843670741592069,0.1289082314601982,0.4843670741592069,0.3398770249347116,0.3333333333333333,sele,kddipums97,8.0,193.37857174873352,TabFTTransformer,,,,,,,,,0.0,0.96,True,,,,,0.0042196531791908,0.0286127167630058,0.3541072856743712,0.3541072856743712,,,,,,,
SGD,False,-5.0,SGD,-4.0,-2.0,2.0,320.0,0.25,1.0,0.4,2.333333333333333,0.9419485108531044,0.2070610987898012,0.99,0.9905,0.0094999999999999,1.8659790814282144,0.6842105263157895,0.9994970468780432,-1.0,,,,,,,sele,letter,13.0,507.4411017894745,TabFTTransformer,,,,,,,,,0.05,0.95,True,,,0.99,True,0.0005,0.0074999999999999,0.1394216511065344,0.1394216511065344,,,,,,,
Adam,True,-5.0,AdamW,-4.0,-3.0,3.0,128.0,0.15,1.0,0.1,0.6666666666666666,0.8413533834586466,0.3651435712378772,0.99,0.9940209267563528,0.0059790732436472,0.7612047717776823,0.625,0.9232266905459676,1.0,0.5007518796992482,0.5530700380172822,0.1117324904956794,0.5530700380172822,0.2715758771670935,0.375,sele,magic,18.0,539.4707434177399,TabFTTransformer,,,,,,,,,0.2,,,,,,,0.0040209267563527,0.0192077727952167,0.3302463411131022,0.3302463411131022,,,,,,,
AdamW,True,-4.0,Adam,-6.0,-4.0,3.0,320.0,,,,,0.9249965340357688,0.2000535780291052,0.99,0.988082191780822,0.011917808219178,0.4224484217100496,0.8160919540229885,0.9749649605551572,0.8543956043956045,0.4988215721613753,0.7731031642915234,0.0567242089271191,0.7731031642915234,0.1336164356894697,0.5977011494252874,sele,miniboone,15.0,782.238183259964,TabResnet,,,,,512.0,1.0,0.2,0.15,,,,,,,,0.0019178082191779,0.0115068493150684,0.1768923736271179,0.1768923736271179,,,,,,,
SGD,True,-3.0,Adam,-6.0,-1.0,,,,,,,0.9897458116695552,0.0372633998034645,0.99,0.9891428571428572,0.0108571428571428,0.1357878714724766,0.9473684210526316,0.9999256101483746,-1.0,,,,,,,sele,MNIST,17.0,6751.329937934876,Resnet34,,,,,,,,,,0.95,False,,,,,0.0008571428571427,0.0022857142857143,0.0334297861773169,0.0334297861773169,,,,,,,True
AdamW,False,-4.0,Adam,-4.0,-3.0,1.0,512.0,0.5,0.0,0.25,2.6666666666666665,0.9018961253091508,0.2237298948411623,0.99,0.983779399837794,0.016220600162206,0.4621649107575701,0.8,0.9333270788379148,0.765625,0.1541632316570486,0.4768267458390449,0.0682203031504447,0.5790373617309406,0.1620439898222203,0.2,sele,online,12.0,251.8120346069336,TabFTTransformer,,,,,,,,,,,,,,,,0.0062206001622059,0.0062206001622059,0.192520567582158,0.192520567582158,,,,,,,
