optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
Adam,True,-6.0,,,-2.0,,,,,,,0.9681845903638951,0.1799031922275073,0.99,0.99083492798872,0.0091650720112801,1.6472650040439187,0.4175824175824176,0.9989798660851475,0.8773393608155514,,,,,,,sat,SVHN,14.0,12731.690555095673,VGG,,,15.0,0.9,,,,,,,,,,,,0.0008349279887199,0.0027898076342028,0.0961490424965832,0.0961490424965832,True,,,,,,
Adam,False,-5.0,,,-3.0,,,,,,,0.8218068535825546,0.7582597073337098,0.99,0.9913526868437308,0.0086473131562693,3.2305027597866927,0.2142857142857142,0.9991814071642856,-1.0,,,,,,,sat,stanfordcars,17.0,23593.71898007393,Resnet34,,,15.0,0.93,,,,,,,,,,,,0.0013526868437307,0.030697961704756,0.5468841033898341,0.5468841033898341,,,,,,True,
Adam,True,-3.0,,,-3.0,4.0,512.0,,,,,0.8231727854496463,0.4341665502382498,0.99,0.9896666666666668,0.0103333333333333,0.6966665730018787,0.4516129032258064,0.770761515104525,0.6282051282051282,0.2192657460424385,0.2087493981425414,0.1354556877000574,0.520976992122719,0.2520605291483425,0.4193548387096774,sat,ucicredit,7.0,1477.4805238246918,TabResnet,,,0.0,0.98,192.0,1.0,0.1,0.2,,,,,,,,0.0003333333333331,0.02,0.393712842522478,0.393712842522478,,,,,,,
SGD,True,-4.0,,,-1.0,,,,,,,0.9828178694158076,0.0514226947910691,0.99,0.9931740614334472,0.0068259385665528,0.6336218608686887,0.5,0.9989252448053498,-1.0,0.7285223367697594,0.9341226659236564,0.0130291200012062,0.8219356872153369,0.2308225127581222,1.0,sat,xray,0.0,7387.830024957657,Resnet34,,,0.0,0.99,,,,,,0.9,False,,,,,0.0031740614334472,0.0276450511945391,0.0174922775061868,0.0174922775061868,,,,,,False,
AdamW,False,-6.0,,,-3.0,,,,,,,0.9656121045392022,0.1464089128494192,0.99,0.9891156462585036,0.0108843537414965,0.6745884902022348,0.5,0.993368700265252,0.6666666666666667,0.6781292984869326,0.8695417320539218,0.028475220634592,0.879904685232709,0.2451136687019516,0.625,sat,oxfordpets,20.0,2303.083369731903,Resnet34,,,45.0,0.91,,,,,,,,,,,,0.0008843537414964,0.004421768707483,0.0741251600772799,0.0741251600772799,,,,,,False,
Adam,False,-6.0,,,-4.0,3.0,128.0,0.45,0.0,0.1,1.0,0.814592050209205,0.4012343129456017,0.99,0.9937629937629938,0.0062370062370061,0.7816447997908936,0.2916666666666667,0.900404242328751,0.3203125,0.5010460251046025,0.4822957824341464,0.1294260311741769,0.4823108278026244,0.2927102591647614,0.3333333333333333,sat,electricity,14.0,3318.017090320587,TabFTTransformer,,,15.0,0.98,,,,,,,,,,,,0.0037629937629938,0.0069646569646569,0.3477431103562836,0.3477431103562836,,,,,,,
AdamW,True,-6.0,,,-2.0,3.0,256.0,0.2,0.0,0.0,2.333333333333333,0.5531914893617021,0.6724874089331427,0.99,0.988173455978975,0.011826544021025,0.7054506141817931,0.5555555555555556,0.5914305923961096,0.4444444444444444,0.5013297872340425,0.0388979183227755,0.2402755204193061,0.0388979183227755,0.2561226979198141,0.3333333333333333,sat,eye,16.0,224.21452140808103,TabFTTransformer,,,45.0,0.97,,,,,,,,,,,,0.001826544021025,0.0240473061760841,0.6679030566271363,0.6679030566271363,,,,,,,
Adam,True,-6.0,,,-2.0,,,,,,,0.7218443688737748,1.147770407248328,0.99,0.98990099009901,0.0100990099009901,2.9444981373361765,0.2549019607843137,0.9951979012093946,-1.0,,,,,,,sat,food101,19.0,96077.1208319664,Resnet34,,,45.0,0.9,,,,,,,,,,,,9.900990098998808e-05,0.0017821782178217,0.8887669745266736,0.8887669745266736,,,,,,False,
Adam,True,-6.0,,,-4.0,4.0,128.0,0.25,0.0,0.3,1.0,0.8433268858800773,0.3525559853523048,0.99,0.9961464354527938,0.0038535645472062,0.4765296371958258,1.0,0.8919966478106013,-1.0,0.5009671179883946,0.5397352786497073,0.1150661803375731,0.5397352786497073,0.1465061265666336,0.0,sat,kddipums97,1.0,195.7314796447754,TabFTTransformer,,,15.0,0.93,,,,,,,,,,,,0.0061464354527938,0.0121387283236993,0.2961506259290288,0.2961506259290288,,,,,,,
Adam,True,-6.0,,,-3.0,4.0,128.0,0.25,0.0,0.3,1.0,0.8526955201214882,0.3444559138970912,0.99,0.984304932735426,0.015695067264574,0.6598872828616286,0.7619047619047619,0.9289532674071068,0.8173076923076923,0.4981017463933181,0.575382083174967,0.1061544792062582,0.575382083174967,0.233343015800015,0.6190476190476191,sat,magic,18.0,499.7501149177551,TabFTTransformer,,,15.0,0.94,,,,,,,,,,,,0.005695067264574,0.0146487294469356,0.2861565377175856,0.2861565377175856,,,,,,,
