optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual,avg_viol_trial
Adam,False,-4.0,,,-5.0,1.0,64.0,0.15,0.0,0.45,1.3333333333333333,0.7867370007535796,0.4890005735086961,0.99,0.9836916234247592,0.0163083765752408,0.7835065955868715,0.7727272727272727,0.8508684649320084,0.6041666666666666,0.4958553127354936,0.3804303184072828,0.1548924203981793,0.3804303184072828,0.2188485466149839,0.7272727272727273,dg,house,3.0,187.14004015922544,TabFTTransformer,,,,,,,,,,,,,2.0,,,0.0063083765752407,0.0063083765752407,0.4576268792148341,0.4576268792148341,,,,,,,
SGD,True,-3.0,,,-1.0,4.0,64.0,,,,,0.9592061742006616,0.1165455771132902,0.99,0.9912568306010928,0.008743169398907,5.199188736458403,0.25,0.9843153246443876,-1.0,,,,,,,dg,indian,11.0,98.15167450904846,TabResnet,,,,,192.0,1.0,0.4,0.3,,0.9,False,,3.2,,,0.0012568306010928,0.0101092896174863,0.0722373051598031,0.0722373051598031,,,,,,,
Adam,False,-4.0,,,-5.0,1.0,64.0,0.15,0.0,0.45,1.3333333333333333,0.6940430031723652,0.5619035668868971,0.99,0.985411601250434,0.0145883987495658,0.6847495592117586,0.5595238095238095,0.7760290556900727,0.6141460609545716,0.4991187874515333,0.2288869282375297,0.1927782679406175,0.2288869282375297,0.2458817419928686,0.5595238095238095,dg,jannis,3.0,363.0655162334442,TabFTTransformer,,,,,,,,,,,,,2.0,,,0.0045883987495659,0.0079194164640499,0.5359784388997414,0.5359784388997414,,,,,,,
Adam,False,-3.0,,,-5.0,4.0,64.0,0.05,0.0,0.4,1.0,0.8753167764825139,0.4334912307869547,0.99,0.9865,0.0134999999999999,2.20193459923378,0.2222222222222222,0.998197412305336,-1.0,,,,,,,dg,letter,18.0,741.6344001293182,TabFTTransformer,,,,,,,,,,,,,18.4,,,0.0034999999999999,0.0034999999999999,0.2952826461005494,0.2952826461005494,,,,,,,
AdamW,True,-4.0,,,-4.0,1.0,384.0,,,,,0.9336381269049598,0.1986346134616445,0.99,0.9887671232876712,0.0112328767123287,1.020251439061725,0.6341463414634146,0.976816202109318,0.5927033492822966,0.4995843724023275,0.7947589074393784,0.0513102731401554,0.7947589074393784,0.290107266995216,0.5365853658536586,dg,miniboone,5.0,371.3836851119995,TabResnet,,,,,448.0,3.0,0.4,0.25,,,,,2.0,,,0.0012328767123287,0.0039726027397259,0.1491630139988713,0.1491630139988713,,,,,,,
Adam,True,-4.0,,,-4.0,,,,,,,0.9958056118021406,0.024168155154896,0.99,0.9877142857142858,0.0122857142857142,1.0403022459920377,0.6744186046511628,0.9999795780487774,0.9583072870466036,,,,,,,dg,MNIST,19.0,5644.287671089172,Resnet34,,,,,,,,,,,,,2.8,,,0.0022857142857142,0.0074285714285713,0.0085912428924791,0.0085912428924791,,,,,,True,
Adam,False,-4.0,,,-3.0,1.0,64.0,0.2,0.0,0.5,1.6666666666666663,0.908717105263158,0.2033649633495079,0.99,0.986212489862125,0.013787510137875,0.7430837494229514,0.5294117647058824,0.9476774633805722,0.4722222222222222,0.1504934210526315,0.5078720815447249,0.0629246151509845,0.8196798435738586,0.2722410544183382,0.4705882352941176,dg,online,17.0,180.06070351600647,TabFTTransformer,,,,,,,,,,,,,2.0,,,0.003787510137875,0.0106244931062449,0.1426934055055338,0.1426934055055338,,,,,,,
SGD,False,-5.0,,,-4.0,,,,,,,0.9605731124885682,0.2061592354909056,0.99,0.991137073219861,0.008862926780139,2.1291564503179803,0.3295454545454545,0.9988673763830264,0.8517699940058329,,,,,,,dg,SVHN,18.0,6956.230048656464,VGG,,,,,,,,,,0.99,True,,7.800000000000001,,,0.001137073219861,0.0021502668949542,0.1307844008651834,0.1307844008651834,True,,,,,,
Adam,False,-6.0,,,-4.0,,,,,,,0.7740112994350282,0.8525109903859879,0.99,0.983940704138357,0.016059295861643,3.829334854314186,0.1538461538461538,0.9989078900690233,-1.0,,,,,,,dg,stanfordcars,14.0,23122.89426112175,Resnet34,,,,,,,,,,,,,161.0,,,0.0060592958616429,0.0152563310685608,0.6280034348322179,0.6280034348322179,,,,,,False,
AdamW,True,-4.0,,,-5.0,1.0,448.0,,,,,0.8185483870967742,0.491447211810784,0.99,0.992,0.008,1.1343385399910748,0.4583333333333333,0.7669171241484225,0.4142857142857142,0.2184139784946236,0.1599575136954742,0.1434094405491219,0.6167779788797589,0.3898476831776444,0.5833333333333334,dg,ucicredit,17.0,253.16057515144348,TabResnet,,,,,448.0,3.0,0.3,0.25,,,,,2.0,,,0.002,0.0113333333333333,0.4189013579503194,0.4189013579503194,,,,,,,
