optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_viol_trial,avg_perf,min_avg_perf,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
Adam,False,-3.0,AdamW,-4.0,-4.0,4.0,448.0,,,,,0.9408391797085808,0.1819575549067322,0.99,0.9882666666666666,0.0117333333333333,0.6920286269632867,0.5340909090909091,0.8231080870309628,0.5652117768595041,0.0617242309767943,0.1675392408679387,0.0482331536669882,0.8897863875264704,0.2494871444090222,0.5,cn,giveme,15.0,2136.353678703308,TabResnet,,,,,448.0,1.0,0.3,0.4,,,,,,,,0.0017333333333333,0.0023333333333334,,0.1367418470088801,0.1367418470088801,,,,,,
Adam,True,-6.0,AdamW,-7.0,-4.0,3.0,128.0,,,,,0.381815365551425,2.529647884346383,0.99,0.9901840490797544,0.0098159509202454,3.382843560610498,0.25,0.9266444016606912,-1.0,,,,,,,cn,helena,14.0,900.0336799621582,TabResnet,,,,,512.0,3.0,0.25,0.4,,,,,,,,0.0001840490797544,0.0115030674846625,,2.3781332580231687,2.3781332580231687,,,,,,
AdamW,False,-4.0,SGD,-6.0,-5.0,2.0,128.0,0.5,0.0,0.45,2.333333333333333,0.7027300303336703,0.5826644820081472,0.99,0.989,0.011,0.4251246966799859,0.8181818181818182,0.7691172020055783,0.6666666666666667,0.5035389282103134,0.2144821824244398,0.19637945439389,0.2144821824244398,0.1366618376780332,0.1818181818181818,cn,heloc,5.0,498.5028533935547,TabFTTransformer,,,,,,,,,,,,,,0.92,True,0.001,0.007,,0.5738098032380191,0.5738098032380191,,,,,,
AdamW,False,-3.0,Adam,-6.0,-4.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.7218378936499742,0.5416803278425475,0.99,0.9877613462519124,0.0122386537480877,0.6913013782906916,0.5333333333333333,0.7994694094673969,0.5759933314809669,0.5290655653071761,0.266477102263883,0.1827612222686304,0.2727140296908207,0.2485392945018728,0.4916666666666666,cn,higgs,14.0,3511.4873118400574,TabFTTransformer,,,,,,,,,,,,,,,,0.0022386537480876,0.0047424783273839,,0.517113475233081,0.517113475233081,,,,,,
AdamW,False,-3.0,Adam,-6.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.8609022556390977,0.320742760603308,0.99,0.9859154929577464,0.0140845070422535,0.6892958325951867,0.5789473684210527,0.9372236958443856,0.4880952380952381,0.5015037593984962,0.6046224934763831,0.0988443766309042,0.6046224934763831,0.2480953079178723,0.3684210526315789,cn,house,2.0,494.2901237010956,TabFTTransformer,,,,,,,,,,,,,,,,0.0040845070422536,0.0068939955522608,,0.2635160459985138,0.2635160459985138,,,,,,
AdamW,True,-4.0,Adam,-5.0,-4.0,1.0,128.0,,,,,0.9513274336283186,0.1219954419438961,0.99,0.9879781420765028,0.0120218579234973,0.5944700506021957,0.6363636363636364,0.9986287518865008,-1.0,,,,,,,cn,indian,15.0,199.62203693389893,TabResnet,,,,,320.0,1.0,0.35,0.25,,,,,,,,0.0020218579234971,0.0169398907103824,,0.080373751128968,0.080373751128968,,,,,,
AdamW,False,-3.0,Adam,-6.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.7754637731886594,0.4703214920735726,0.99,0.9923584577978464,0.0076415422021535,0.6336251195112298,0.6136363636363636,0.8573557661679598,0.7473684210526316,0.4994749737486874,0.3901051933500826,0.1524737016624793,0.3901051933500826,0.2210139932493149,0.5681818181818182,cn,jannis,2.0,3596.2870528697968,TabFTTransformer,,,,,,,,,,,,,,,,0.0023584577978463,0.0035255296978117,,0.4310363556333376,0.4310363556333376,,,,,,
AdamW,False,-3.0,Adam,-6.0,-4.0,1.0,512.0,0.4,0.0,0.25,2.6666666666666665,0.8752436647173489,0.3164112119652733,0.99,0.9884393063583816,0.0115606936416184,0.3618148079059402,1.0,0.928267412519381,-1.0,0.5048732943469786,0.6188106875128557,0.095297328121786,0.6188106875128557,0.0922135222945012,0.0,cn,kddipums97,12.0,196.16280722618103,TabFTTransformer,,,,,,,,,,,,,,,,0.0015606936416183,0.0121387283236993,,0.2634418080055166,0.2634418080055166,,,,,,
SGD,False,-3.0,AdamW,-5.0,-3.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.9591939546599496,0.1228973439965339,0.99,0.9925,0.0074999999999999,2.177427231158987,0.3333333333333333,0.9997593727701816,-1.0,,,,,,,cn,letter,11.0,1357.7622356414795,TabFTTransformer,,,,,,,,,0.0,0.97,True,,,,,0.0025,0.016,,0.0741349771051047,0.0741349771051047,,,,,,
AdamW,False,-3.0,Adam,-6.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.8492424242424242,0.3391990471544724,0.99,0.9865470852017936,0.0134529147982063,0.6831950035735972,0.6111111111111112,0.9255324277603942,0.6625,0.4992424242424242,0.5671266387073561,0.1082183403231609,0.5671266387073561,0.2449815906971699,0.5555555555555556,cn,magic,2.0,500.7281997203827,TabFTTransformer,,,,,,,,,,,,,,,,0.0034529147982064,0.0099402092675635,,0.281015284792282,0.281015284792282,,,,,,
Adam,True,-3.0,Adam,-4.0,-2.0,2.0,64.0,,,,,0.9330468533407263,0.1831166356815773,0.99,0.9882191780821916,0.0117808219178082,0.6879218000774223,0.5232558139534884,0.9778752046047914,0.5844155844155845,0.4998613806487386,0.792064657406856,0.0519838356482859,0.792064657406856,0.2470215795553991,0.5116279069767442,cn,miniboone,6.0,1293.0708141326904,TabResnet,,,,,128.0,2.0,0.4,0.45,,,,,,,,0.0017808219178083,0.0052054794520547,,0.123929889345308,0.123929889345308,,,,,,
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.9946708915454414,0.0240442404109346,0.99,0.9918571428571428,0.0081428571428571,1.2765858649175863,0.5964912280701754,0.9999696826594052,0.9538468515611376,,,,,,,cn,MNIST,6.0,14920.755080223083,Resnet34,,,,,,,,,,,,,,,,0.0018571428571427,0.006,,0.010071550619156,0.010071550619156,,,,,,True
AdamW,False,-3.0,Adam,-6.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.9121510673234812,0.2087464724407509,0.99,0.9878345498783456,0.0121654501216544,0.6790024632463629,0.4666666666666667,0.9442908502228576,0.625,0.1510673234811166,0.4997599769318038,0.0641601477930271,0.8147008886619306,0.2429775079399432,0.4666666666666667,cn,online,2.0,474.7682454586029,TabFTTransformer,,,,,,,,,,,,,,,,0.0021654501216543,0.0113949716139496,,0.1402314128210135,0.1402314128210135,,,,,,
AdamW,False,-3.0,Adam,-6.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.8548387096774194,0.359778134706499,0.99,0.9748427672955976,0.0251572327044025,0.8956893332755076,0.25,0.9295200033304192,0.3333333333333333,0.5064516129032258,0.5658463880982697,0.1085369595795254,0.5660805402817117,0.3476295609101973,0.25,cn,phoneme,2.0,113.23004508018494,TabFTTransformer,,,,,,,,,,,,,,,,0.0151572327044023,0.0151572327044023,,0.3042180740404022,0.3042180740404022,,,,,,
Adam,False,-5.0,Adam,-5.0,-3.0,4.0,384.0,0.05,1.0,0.25,2.0,0.9226110363391656,0.203156729263383,0.99,0.9906666666666668,0.0093333333333333,2.0148201230494664,0.3571428571428571,0.9687994413064592,-1.0,,,,,,,cn,pol,18.0,1489.144828557968,TabFTTransformer,,,,,,,,,0.2,,,,,,,0.0006666666666668,0.0153333333333333,,0.0975496615983494,0.0975496615983494,,,,,,
AdamW,False,-3.0,Adam,-6.0,-4.0,1.0,448.0,0.4,0.0,0.25,2.6666666666666665,0.7280163599182005,0.5117335112114668,0.99,0.9839034205231388,0.0160965794768611,0.5868300092297847,0.875,0.8255378232794672,1.0,0.4969325153374233,0.31377809436197,0.1715554764095075,0.31377809436197,0.197654819821046,0.625,cn,rl,10.0,182.67680478096008,TabFTTransformer,,,,,,,,,,,,,,,,0.0060965794768611,0.0263581488933601,,0.4877251773087076,0.4877251773087076,,,,,,
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.964187608098484,0.1642021541842008,0.99,0.9899284922952966,0.0100715077047034,1.8684292148890704,0.32,0.9989533660762432,0.8400856697898015,,,,,,,cn,SVHN,7.0,17565.77036356926,VGG,,,,,,,,,,,,,,,,7.150770470343293e-05,0.0021502668949542,,0.0878813038151165,0.0878813038151165,True,,,,,
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.7804878048780488,0.812416572197405,0.99,0.987646695491044,0.0123533045089561,3.402183704347899,0.3,0.9988751482986502,-1.0,,,,,,,cn,stanfordcars,6.0,47061.425256967545,Resnet34,,,,,,,,,,,,,,,,0.0023533045089559,0.0116429894996912,,0.6738896921986798,0.6738896921986798,,,,,,True
Adam,True,-3.0,Adam,-4.0,-2.0,2.0,64.0,,,,,0.8212722988892629,0.4297007639922758,0.99,0.9903333333333332,0.0096666666666667,0.6806919522115347,0.3793103448275862,0.7763125973552514,0.4952380952380952,0.2187815550319757,0.2133485415803498,0.1344559422188289,0.5773594496983122,0.2441999430705216,0.4827586206896552,cn,ucicredit,6.0,831.7765882015228,TabResnet,,,,,128.0,2.0,0.4,0.45,,,,,,,,0.0003333333333331,0.0026666666666665,,0.3929140621386972,0.3929140621386972,,,,,,
SGD,False,-3.0,AdamW,-6.0,-4.0,3.0,128.0,0.35,1.0,0.15,0.6666666666666666,0.7944111776447106,0.4047044545226038,0.99,0.9940476190476192,0.0059523809523809,0.7711052656909946,0.3333333333333333,0.8903426294820717,1.0,0.500998003992016,0.4754674776339543,0.1311329714861724,0.4755840518917062,0.2885959637737739,0.3333333333333333,cn,upselling,8.0,356.3662030696869,TabFTTransformer,,,,,,,,,0.0,0.96,True,,,,,0.0040476190476191,0.0111111111111111,,0.3503548451401779,0.3503548451401779,,,,,,
Adam,False,-3.0,AdamW,-6.0,-3.0,,,,,,,0.4638269100743746,2.064490585644163,0.99,0.986,0.014,3.79900100194189,0.0714285714285714,0.9796506914207422,-1.0,,,,,,,cn,cifar100,19.0,9544.054521799088,VGG,,,,,,,,,,,,,,,,0.004,0.01,,1.812394839222471,1.812394839222471,True,,,,,
Adam,False,-4.0,SGD,-4.0,-3.0,,,,,,,0.9934505342985176,0.0187639741608068,0.99,0.9858963466440102,0.0141036533559898,0.5865576280783535,0.6867469879518072,0.9999710795936468,-1.0,,,,,,,cn,organamnist,10.0,7897.875844240189,Resnet18,,,,,,,,,,,,,,0.99,True,0.0041036533559898,0.0127017841971113,,0.0072688763562588,0.0072688763562588,,,,,,False
Adam,False,-3.0,AdamW,-7.0,-4.0,,,,,,,0.971830985915493,0.0888661938299951,0.99,0.9902789518174132,0.0097210481825866,1.4830753033391773,0.6086956521739131,0.9993256148622254,-1.0,,,,,,,cn,organcmnist,6.0,3949.011897087097,Resnet18,,,,,,,,,,,,,,,,0.0002789518174132,0.008495350803043,,0.0503716554386821,0.0503716554386821,,,,,,True
SGD,True,-3.0,Adam,-6.0,-1.0,,,,,,,0.9002705139765554,0.2938428132041902,0.99,0.9891188012843382,0.0108811987156618,0.6642561628807652,0.6147540983606558,0.7309385342044559,0.6001418439716313,0.0997294860234445,0.0627792196659325,0.0841562841711434,0.7341550446487861,0.2357784978357883,0.3852459016393442,cn,chestmnist,12.0,14995.38427734375,Resnet18,,,,,,,,,,0.98,True,,,,,0.0008811987156618,0.002550838387442,,0.2534046222209531,0.2534046222209531,,,,,,False
Adam,False,-4.0,AdamW,-7.0,-5.0,,,,,,,0.7631578947368421,0.5203712055487807,0.99,0.9743589743589745,0.0256410256410256,0.5318383913886027,0.5,0.6991071428571428,1.0,0.7368421052631579,0.1329448492372444,0.1681590143685785,0.4454853965211749,0.1943681002014798,0.5,cn,breastmnist,16.0,446.88088035583496,Resnet18,,,,,,,,,,,,,,,,0.0156410256410255,0.0156410256410255,,0.4949931727646017,0.4949931727646017,,,,,,True
AdamW,False,-5.0,AdamW,-6.0,-5.0,,,,,,,0.7670682730923695,0.6370143221212017,0.99,0.994011976047904,0.0059880239520958,1.0996728759697965,0.5,0.8731199381667469,-1.0,,,,,,,cn,dermamnist,17.0,1760.876826286316,Resnet18,,,,,,,,,,,,,,,,0.004011976047904,0.0262475049900199,,0.5137780144072249,0.5137780144072249,,,,,,True
SGD,True,-4.0,Adam,-6.0,-1.0,,,,,,,0.9616745283018868,0.1204007429013108,0.99,0.991812865497076,0.0081871345029239,0.8840762478917886,0.5714285714285714,0.9980160116154344,-1.0,,,,,,,cn,bloodmnist,0.0,2714.349093914032,Resnet18,,,,,,,,,,0.9,False,,,,,0.001812865497076,0.0119883040935673,,0.072663701620385,0.072663701620385,,,,,,False
Adam,False,-3.0,SGD,-6.0,-4.0,,,,,,,0.9843478260869564,0.0657447396989505,0.99,0.9812286689419796,0.0187713310580204,0.7826549313662234,0.6363636363636364,0.9966992627325169,0.3928571428571428,0.7321739130434782,0.9258208450171368,0.0145467125478761,0.9394086748676036,0.2814236502669435,0.6363636363636364,cn,pneumoniamnist,17.0,1247.2539775371552,Resnet18,,,,,,,,,,,,,,0.95,True,0.0087713310580204,0.0481228668941978,,0.0369293632884078,0.0369293632884078,,,,,,False
Adam,True,-3.0,Adam,-8.0,-3.0,,,,,,,0.6976396134439408,0.8488020250451639,0.99,0.9892973476035364,0.0107026523964635,1.1030518173321886,0.5770750988142292,0.941868642080841,-1.0,,,,,,,cn,tissuemnist,10.0,35033.84774398804,Resnet18,,,,,,,,,,,,,,,,0.0007026523964636,0.0045137273150303,,0.7710035963785806,0.7710035963785806,,,,,,False
SGD,True,-4.0,Adam,-5.0,-2.0,,,,,,,0.9129550914803178,0.2568996077382948,0.99,0.990028359710914,0.009971640289086,1.1990194775552467,0.4311926605504587,0.976387457721376,0.7463096907767315,,,,,,,cn,octmnist,15.0,15703.150845527647,Resnet18,,,,,,,,,,0.95,True,,,,,2.835971091397216e-05,0.0125972006220839,,0.1700337652694038,0.1700337652694038,,,,,,False
Adam,False,-3.0,AdamW,-6.0,-4.0,,,,,,,0.9829406220546654,0.0654373028649542,0.99,0.9899234931890278,0.0100765068109721,1.431573491104676,0.324074074074074,0.9996117725808842,-1.0,,,,,,,cn,pathmnist,15.0,14546.773494958878,Resnet18,,,,,,,,,,,,,,,,7.65068109721545e-05,0.0026684082851278,,0.0257350245857262,0.0257350245857262,,,,,,True
AdamW,False,-4.0,Adam,-7.0,-5.0,,,,,,,0.5,1.246994125133518,0.99,0.9875,0.0124999999999999,1.598278625811855,0.0,0.691856127411683,-1.0,,,,,,,cn,retinamnist,1.0,551.4114789962769,Resnet18,,,,,,,,,,,,,,,,0.0024999999999999,0.025,,1.144338943104908,1.144338943104908,,,,,,False
SGD,True,-3.0,Adam,-6.0,-2.0,,,,,,,0.9344328238133548,0.1943060248145039,0.99,0.985725614591594,0.0142743854084059,0.7576867105737448,0.3611111111111111,0.9917659915549942,-1.0,,,,,,,cn,organsmnist,30.0,4588.128501653671,Resnet18,,,,,,,,,,0.96,True,,,,,0.0042743854084059,0.0068596352101506,,0.1310562300738781,0.1310562300738781,,,,,,False
