optimizer,time_decay,exp_wd,optimizer_name_unc,exp_lr_unc,exp_lr,n_blocks,d_token,attention_dropout,res_drop,ffn_dropout,ffn_factor,accuracy,ce_loss,desired_coverage,coverage,reject_rate,ce_loss_rej,accuracy_rej,auc,auc_rej,pos_rate,bss,brier,bss_rej,brier_rej,pos_rate_rej,meta,dataset,trial,time_to_fit,model_type,exp_lamda,alpha,pretrain,momentum,d_main,hidden_factor,dropout_first,dropout_second,residual_dropout,momentum_sgd,nesterov,exp_beta,reward,momentum_sgd_unc,nesterov_unc,viol,max_viol_trial,avg_perf,min_avg_perf,avg_viol_trial,b_norm,n_estimators,reg_alpha,reg_lambda,folds,zero_init_residual
Adam,False,-5.0,AdamW,-4.0,-4.0,4.0,512.0,,,,,0.9363379143088116,0.1890090493396616,0.99,0.9896,0.0103999999999999,0.2116755896115113,0.9294871794871796,0.8333983083262694,0.7899686520376176,0.0668283481541363,0.1837097041679198,0.0509057566921668,0.2234566504928216,0.0574714504309602,0.0705128205128205,reg,giveme,7.0,1232.18128824234,TabResnet,,,,,192.0,2.0,0.15,0.15,,,,,,,,0.0003999999999999,0.0034666666666667,0.1742036711003188,0.1742036711003188,,,,,,,
Adam,True,-3.0,SGD,-6.0,-4.0,3.0,192.0,,,,,0.3701409323215115,2.6113100035651646,0.99,0.9903374233128834,0.0096625766871165,2.6239067511930068,0.3174603174603174,0.9159089538593924,-1.0,,,,,,,reg,helena,10.0,396.6499497890472,TabResnet,,,,,320.0,3.0,0.25,0.05,,,,,,0.99,False,0.0003374233128834,0.0095092024539876,2.5784804967598838,2.5784804967598838,,,,,,,
Adam,True,-5.0,SGD,-4.0,-3.0,1.0,64.0,0.15,0.0,0.25,2.0,0.7127016129032258,0.5820521664943246,0.99,0.992,0.008,0.8776175347036842,0.625,0.7641525923216064,0.3333333333333333,0.4989919354838709,0.2118513043996547,0.1970371739000863,0.2118513043996547,0.314918375115079,0.625,reg,heloc,19.0,167.86289882659912,TabFTTransformer,,,,,,,,,,,,,,0.9,False,0.002,0.012,0.5708805694679758,0.5708805694679758,,,,,,,
AdamW,False,-4.0,SGD,-4.0,-4.0,2.0,64.0,0.5,0.0,0.5,2.333333333333333,0.7117423072964907,0.5527090631094728,0.99,0.9910249872514024,0.0089750127485976,0.5941163870494166,0.7159090909090909,0.7892337631507619,0.7409188034188035,0.5280436348667285,0.2475301138479737,0.1875259002146983,0.236527127031066,0.2012703623047906,0.5909090909090909,reg,higgs,10.0,872.7205052375793,TabFTTransformer,,,,,,,,,,,,,,0.9,True,0.0010249872514024,0.0026007139214686,0.5505947074035723,0.5505947074035723,,,,,,,
SGD,False,-4.0,AdamW,-6.0,-3.0,3.0,256.0,0.35,1.0,0.15,0.6666666666666666,0.8559701492537314,0.3503753062980121,0.99,0.9933283914010378,0.0066716085989622,0.0119955884239641,1.0,0.9296500994655814,1.0,0.5007462686567165,0.5776483776248758,0.105587905593781,0.5776483776248758,0.0004652114158953,0.3333333333333333,reg,house,15.0,490.7896556854248,TabFTTransformer,,,,,,,,,0.05,0.95,True,,,,,0.0033283914010378,0.0101556708673091,0.3442320749510739,0.3442320749510739,,,,,,,
AdamW,True,-4.0,Adam,-3.0,-4.0,3.0,256.0,,,,,0.9358407079646016,0.2347653146031769,0.99,0.9879781420765028,0.0120218579234973,0.8057171775338156,0.9090909090909092,0.9910842622373748,-1.0,,,,,,,reg,indian,10.0,167.97341632843018,TabResnet,,,,,512.0,1.0,0.1,0.05,,,,,,,,0.0020218579234971,0.03551912568306,0.1947033817840593,0.1947033817840593,,,,,,,
Adam,True,-5.0,AdamW,-4.0,-4.0,4.0,64.0,0.25,0.0,0.05,2.6666666666666665,0.7679324894514767,0.4800543606627138,0.99,0.9878430010420284,0.0121569989579715,0.4959515403976817,0.7428571428571429,0.8466141300047475,0.8420181968569065,0.5007032348804501,0.3661819861825126,0.1584545034543718,0.3661819861825126,0.1663868995290931,0.4428571428571428,reg,jannis,17.0,848.9482033252716,TabFTTransformer,,,,,,,,,,,,,,,,0.0021569989579716,0.005105939562348,0.4773121301373075,0.4773121301373075,,,,,,,
AdamW,False,-3.0,Adam,-7.0,-3.0,1.0,512.0,0.4,0.0,0.3,2.6666666666666665,0.865234375,0.326601550523021,0.99,0.9865125240847784,0.0134874759152215,0.1136456259824599,1.0,0.9291131899827552,1.0,0.494140625,0.6041000632241057,0.0989749841939735,0.6041000632241057,0.0343308895721693,0.8571428571428571,reg,kddipums97,17.0,106.09551787376404,TabFTTransformer,,,,,,,,,,,,,,,,0.0034874759152215,0.0176300578034681,0.3063425770916663,0.3063425770916663,,,,,,,
SGD,False,-4.0,AdamW,-6.0,-2.0,3.0,320.0,0.2,1.0,0.25,1.6666666666666663,0.9461499748364368,0.1650014178392334,0.99,0.9935,0.0064999999999999,0.3831062509532228,0.8461538461538461,0.9995676416649504,-1.0,,,,,,,reg,letter,15.0,703.559942483902,TabFTTransformer,,,,,,,,,0.05,0.9,False,,,,,0.0035,0.008,0.1419109884761945,0.1419109884761945,,,,,,,
Adam,True,-5.0,AdamW,-4.0,-4.0,3.0,128.0,0.05,1.0,0.25,1.3333333333333333,0.8322046651617758,0.3658568703476988,0.99,0.9932735426008968,0.0067264573991031,0.6100561846418616,0.6666666666666666,0.9147042970572384,0.7777777777777778,0.5011286681715575,0.5335131064141814,0.1166217233964546,0.5335131064141814,0.2178783527085508,0.3333333333333333,reg,magic,12.0,532.5421307086945,TabFTTransformer,,,,,,,,,0.0,,,,,,,0.0032735426008968,0.0091928251121076,0.3302465174566639,0.3302465174566639,,,,,,,
